CNPJ,Fundo,Variavel,Valor,Z-Score
08399811000119,NOME NAO ENCONTRADO,pl_medio,11763735622.865788,3.2091872620214197
08418151000176,NOME NAO ENCONTRADO,pl_medio,19648270466.858955,5.4490465243132045
08771962000156,NOME NAO ENCONTRADO,pl_medio,32401545258.200443,9.072030153804198
08915927000163,NOME NAO ENCONTRADO,pl_medio,31119130723.018,8.707718481453055
09093883000104,NOME NAO ENCONTRADO,pl_medio,16444041637.061928,4.538780825076546
09215250000113,NOME NAO ENCONTRADO,pl_medio,23385051172.562286,6.5106009521180885
09468618000155,NOME NAO ENCONTRADO,pl_medio,22877339544.0651,6.366368905946203
09589223000100,NOME NAO ENCONTRADO,pl_medio,13118048051.024817,3.593923875692412
10264255000115,NOME NAO ENCONTRADO,pl_medio,39679988943.099434,11.139709455787415
10322633000170,NOME NAO ENCONTRADO,pl_medio,17758045693.60538,4.912066531205436
10551370000170,NOME NAO ENCONTRADO,pl_medio,13475217699.263014,3.6953895627170956
10583909000173,NOME NAO ENCONTRADO,pl_medio,100594321475.20403,28.444412222406896
10583916000175,NOME NAO ENCONTRADO,pl_medio,33073763398.603397,9.262995639765517
10731794000117,NOME NAO ENCONTRADO,pl_medio,13701000305.27241,3.7595304754457404
10948577000183,NOME NAO ENCONTRADO,pl_medio,19330471095.637268,5.358765248465498
11046645000181,NOME NAO ENCONTRADO,pl_medio,38798323820.245,10.889243723725919
11233045000122,NOME NAO ENCONTRADO,pl_medio,21275456296.586,5.911301726972464
11351449000110,NOME NAO ENCONTRADO,pl_medio,12968283838.7452,3.551378466905247
11419818000160,NOME NAO ENCONTRADO,pl_medio,62728722535.89835,17.687453925615927
12553726000130,NOME NAO ENCONTRADO,pl_medio,11733484778.730238,3.2005935231681026
12952687000144,DELTA FM&B FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES,pl_medio,11771297185.512932,3.2113353704980416
13052739000199,NOME NAO ENCONTRADO,pl_medio,11822682528.193148,3.2259330529264485
13058736000162,NOME NAO ENCONTRADO,pl_medio,14360478383.00256,3.9468767311107293
13077418000149,NOME NAO ENCONTRADO,pl_medio,23090482301.028557,6.426919057327513
13401421000176,NOME NAO ENCONTRADO,pl_medio,15465463054.27932,4.260783664065091
14120561000139,NOME NAO ENCONTRADO,pl_medio,45822263883.82156,12.884622971896812
14120568000150,NOME NAO ENCONTRADO,pl_medio,15992059053.197672,4.410380431534724
14159055000153,NOME NAO ENCONTRADO,pl_medio,22286550861.184258,6.198536113068641
14933427000157,NOME NAO ENCONTRADO,pl_medio,11361059959.325815,3.0947941072538128
15675415000132,NOME NAO ENCONTRADO,pl_medio,15037993714.711525,4.139347057020844
15675431000125,NOME NAO ENCONTRADO,pl_medio,15350984298.726225,4.2282622400325005
15675437000100,NOME NAO ENCONTRADO,pl_medio,13463129632.615343,3.691955553155376
15831754000160,SANTOS FUNDO DE INVESTIMENTO FINANCEIRO,pl_medio,22693808978.37769,6.314231063244958
16877448000128,NOME NAO ENCONTRADO,pl_medio,27007248700.222008,7.539604291276401
17209712000118,NOME NAO ENCONTRADO,pl_medio,18948721079.757126,5.250316706367849
17322725000107,NOME NAO ENCONTRADO,pl_medio,13808882888.370523,3.790178041570249
17517380000139,NOME NAO ENCONTRADO,pl_medio,36589895386.94398,10.261867603344335
17804952000160,NOME NAO ENCONTRADO,pl_medio,11805018017.256615,3.2209148724988244
17958866000102,NOME NAO ENCONTRADO,pl_medio,15547932452.730797,4.28421178628563
