CNPJ_FUNDO,DENOM_SOCIAL,TP_FUNDO,CLASSE,CLASSE,cluster,retorno_medio_diario,retorno_acumulado,volatilidade,max_drawdown,pl_medio,captacao_media,resgate_medio,cotistas_medio,fluxo_liquido_medio,sharpe
02908347000162,SANTANDER MAX RENDA FIXA CURTO PRAZO - CIC FIF RESP LIMITADA,FACFIF,,,3,0.0004776419189259305,0.12626204393496776,4.2087252647201505e-05,0.0,91423329.4226,25594.47956,87541.69112,25510.568,-61947.21156,11.34885004088501
02910278000121,SANTANDER VIP RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FACFIF,,,2,0.0005364958872612319,0.14226737829067204,2.6512487342708977e-05,0.0,9415012239.489439,33485309.817148596,36833059.36915663,64986.28112449799,-3347749.552008033,20.23559239562523
02939538000191,ITAÚ PRÊMIO RENDA FIXA REFERENCIADO DI FIF CIC RESP LIMITADA,FACFIF,,,3,0.00047871729743313496,0.12602465825005282,2.0776771017823045e-05,0.0,118858361.80779116,0.0,48484.607429718875,13134.449799196787,-48484.607429718875,23.040986350693014
03004435000100,WE LAREN FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,FACFIF,,,1,-0.033521226309748485,-1.0,0.18255463378629871,-1.0,9805266.296578947,0.0,485616.96447368426,0.7631578947368421,-485616.96447368426,-0.18362298241626093
03068182000120,FÓRMULA XVI FIF MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR RESPONSABILIDADE LIMITADA,FIF,,,1,-0.005844765227106815,-1.0,0.07762914510499141,-1.0,1271145.0648863635,0.0,7826.137840909091,0.9375,-7826.137840909091,-0.0752908616886341
03069104000140,SANTANDER PREMIUM RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA,FACFIF,,,2,0.0005481552804686751,0.14557327034133039,2.5443906277627475e-05,0.0,14095775766.751406,97918835.33823293,109778511.17369477,7886.827309236948,-11859675.83546184,21.54367629276569
03102098000186,JOBNET FIF DA CLASSE DE INVESTIMENTO EM COTAS MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,,,1,-0.015312221257449028,-1.0,0.12636625367324816,-1.0,9292852.647686567,0.0,75224.10656716417,0.917910447761194,-75224.10656716417,-0.12117334187213179
03164294000185,CAIXA INVESTIDOR FIC DE CLASSE DE FIF RENDA FIXA LONGO PRAZO - RESPONSABILIDADE LIMITADA,FACFIF,,,3,0.0005254231832819011,0.13913652023249012,3.943032898548136e-05,0.0,955464565.5232931,508864.17008032126,1052156.1685140564,6700.746987951808,-543291.9984337351,13.325356313292925
03168062000103,ARX INCOME FIC DE FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES - RESPONSABILIDADE LIMITADA,FITVM,,,3,0.0019573688764975192,0.6032975360118602,0.010226506237959856,-0.06968313836390778,216396983.9363454,349222.8070682731,546108.108433735,6853.413654618474,-196885.3013654619,0.19140152374150468
03182559000178,ITAÚ RENDA FIXA REFERENCIADO DI SUPER FIF CIC RESP LIMITADA,FACFIF,,,3,0.0004808137385198637,0.1266099829507601,1.8277428045799555e-05,0.0,306470036.632008,14.457831325301205,256600.14397590363,7684.369477911647,-256585.68614457833,26.306422179041892
03184103000147,ITAU PRÊMIO RENDA FIXA FIF DA CLASSE DE INVESTIMENTO EM COTAS RESP LIMITADA,FACFIF,,,3,0.00047200656637616165,0.12415280121154892,5.1306340122564403e-05,0.0,105969732.74004017,0.0,44971.21915662651,10103.036144578313,-44971.21915662651,9.199770734934459
03184233000180,ITAÚ PREMIUM RENDA FIXA REFERENCIADO DI FIF DA CIC RESP LIMITADA,FACFIF,,,2,0.0005344920404585444,0.14170015234824862,2.8608643723777737e-05,0.0,3393979957.5668674,15815522.229638554,18953769.352088355,3864.3694779116468,-3138247.1224498004,18.682886389832863
03187084000102,ITAÚ PP RENDA FIXA CURTO PRAZO FIF CIC RESP LIMITADA,FACFIF,,,2,0.000472243425645844,0.12368834357583314,3.540130522712482e-05,0.0,2750185703.714516,173364785.12685484,173133932.6510887,1364.358870967742,230852.47576612234,13.339717917632216
03233070000188,,,,,2,0.0005378612640286579,0.14265381985399728,4.631239143246664e-05,0.0,4637223673.141124,17297231.60124498,18580992.13626506,243.8273092369478,-1283760.5350200832,11.613765719979599
03233076000155,,,,,2,0.00037956162917066364,0.09865146018175541,0.0004919469202724887,-0.011667846928777193,3950673509.1803617,34621730.979839355,37272306.26895582,19.670682730923694,-2650575.2891164646,0.7715499651068555
03256793000100,BRADESCO FIF - CLASSE DE INVESTIMENTO RENDA FIXA REFERENCIADA DI FEDERAL EXTRA -RESP LIMITADA,FIF,,,2,0.0005312545534675315,0.14078441025937694,1.800459598440069e-05,0.0,11587952624.09494,188442708.35702813,188959861.50650603,628.1164658634539,-517153.1494778991,29.5066078643372
03298200000160,BB RENDA FIXA LONGO PRAZO CORPORATE FIC FIF CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,FACFIF,,,2,0.0005471084841401779,0.14589947650413837,0.00015200600247264654,-0.0003036855443761259,15953155644.549759,75700758.52584,87198601.30284,2934.132,-11497842.776999995,3.5992557875379294
03308718000138,BB RENDA FIXA AUTOMÁTICO ESTILO SIMPLES FIC FUNDOS DE INVESTIMENTO FINANCEIRO RESP LIMITADA,FACFIF,,,3,0.000474743800585337,0.12491607326241749,2.741545655281805e-05,0.0,324534255.4424899,32898.81389558233,665745.5791566265,26423.481927710844,-632846.7652610441,17.316647624332113
