CNPJ,Fundo,Variavel,Valor,Z-Score
29259706000154,NOME NAO ENCONTRADO,pl_medio,16404580474.6902,4.5276
29259723000191,NOME NAO ENCONTRADO,pl_medio,16961081636.503132,4.6857
30593140000181,NOME NAO ENCONTRADO,pl_medio,14995653832.476065,4.1273
30624891000118,NOME NAO ENCONTRADO,pl_medio,11947233690.100643,3.2613
30641425000140,NOME NAO ENCONTRADO,pl_medio,23190191488.82191,6.4552
30641464000148,NOME NAO ENCONTRADO,pl_medio,46455312871.845856,13.0645
30754467000198,NOME NAO ENCONTRADO,pl_medio,12395515086.32156,3.3887
32033283000164,NOME NAO ENCONTRADO,pl_medio,29667451232.28966,8.2953
32088041000178,NOME NAO ENCONTRADO,pl_medio,29331992817.059452,8.2
32312116000152,NOME NAO ENCONTRADO,pl_medio,59332526379.91863,16.7227
32312120000110,NOME NAO ENCONTRADO,pl_medio,65758916129.41462,18.5483
32312124000107,NOME NAO ENCONTRADO,pl_medio,48051297477.03565,13.5179
32387924000189,NOME NAO ENCONTRADO,pl_medio,26258524069.5498,7.3269
32388077000177,NOME NAO ENCONTRADO,pl_medio,31082030948.3234,8.6972
32892326000167,NOME NAO ENCONTRADO,pl_medio,19977991222.191906,5.5427
33033134000168,NOME NAO ENCONTRADO,pl_medio,13402090634.735983,3.6746
34246519000176,NOME NAO ENCONTRADO,pl_medio,12385527959.120716,3.3858
34488907000163,NOME NAO ENCONTRADO,pl_medio,13418229277.094622,3.6792
34791568000190,NOME NAO ENCONTRADO,pl_medio,15582942378.513962,4.2942
35536379000133,NOME NAO ENCONTRADO,pl_medio,84633344379.78728,23.9102
35803288000117,NOME NAO ENCONTRADO,pl_medio,11358462156.195704,3.0941
35823433000121,NOME NAO ENCONTRADO,pl_medio,13097668557.300802,3.5881
36247150000141,NOME NAO ENCONTRADO,pl_medio,30258168093.143456,8.4631
37235948000136,NOME NAO ENCONTRADO,pl_medio,20109607942.86586,5.5801
37553253000100,NOME NAO ENCONTRADO,pl_medio,18595218095.41915,5.1499
38658114000104,NOME NAO ENCONTRADO,pl_medio,18885178908.15336,5.2323
39593288000190,NOME NAO ENCONTRADO,pl_medio,14160033306.537992,3.8899
39594772000134,NOME NAO ENCONTRADO,pl_medio,11898818810.145622,3.2476
39618013000164,NOME NAO ENCONTRADO,pl_medio,13191829148.133013,3.6149
40209243000159,NOME NAO ENCONTRADO,pl_medio,12501670968.516788,3.4188
40413765000178,NOME NAO ENCONTRADO,pl_medio,20277728866.321247,5.6279
40997857000142,NOME NAO ENCONTRADO,pl_medio,64611304696.31397,18.2223
41721569000123,NOME NAO ENCONTRADO,pl_medio,12426343359.178127,3.3974
41755256000196,NOME NAO ENCONTRADO,pl_medio,12439698289.640482,3.4012
42196209000112,NOME NAO ENCONTRADO,pl_medio,21146972923.90375,5.8748
42380882000108,NOME NAO ENCONTRADO,pl_medio,14116639958.136305,3.8776
42592315000115,NOME NAO ENCONTRADO,pl_medio,175255331056.85992,49.6543
42592333000105,NOME NAO ENCONTRADO,pl_medio,22108149924.096695,6.1479
42592357000156,NOME NAO ENCONTRADO,pl_medio,22112105753.477356,6.149
42699050000159,NOME NAO ENCONTRADO,pl_medio,14098404010.324137,3.8724
42814769000193,NOME NAO ENCONTRADO,pl_medio,20248503712.231003,5.6196
42814944000142,NOME NAO ENCONTRADO,pl_medio,52797573967.555374,14.8662
42847784000138,NOME NAO ENCONTRADO,pl_medio,36533146397.39216,10.2457
42860483000144,NOME NAO ENCONTRADO,pl_medio,52767607102.09807,14.8577
43617343000102,NOME NAO ENCONTRADO,pl_medio,15351361768.81,4.2284
43617375000108,NOME NAO ENCONTRADO,pl_medio,17930255145.8358,4.961
43810237000140,NOME NAO ENCONTRADO,pl_medio,20231607964.040733,5.6148
44703501000100,NOME NAO ENCONTRADO,pl_medio,19676538846.15265,5.4571
44703508000121,NOME NAO ENCONTRADO,pl_medio,19721210929.072166,5.4698
46133770000103,NOME NAO ENCONTRADO,pl_medio,175236611393.95477,49.649
46975107000156,NOME NAO ENCONTRADO,pl_medio,64608458935.02441,18.2215
47525165000140,NOME NAO ENCONTRADO,pl_medio,64611302930.086716,18.2223
50803123000139,NOME NAO ENCONTRADO,pl_medio,31939436768.004738,8.9408
50803936000129,NOME NAO ENCONTRADO,pl_medio,25694272870.62534,7.1666
51998694000139,NOME NAO ENCONTRADO,pl_medio,22531784681.696426,6.2682
52298374000139,NOME NAO ENCONTRADO,pl_medio,26642739330.485382,7.4361
54487736000165,NOME NAO ENCONTRADO,pl_medio,14664259827.259197,4.0332
55274875000173,NOME NAO ENCONTRADO,pl_medio,18319729353.912727,5.0716
55574437000120,NOME NAO ENCONTRADO,pl_medio,60778308309.92494,17.1334
56915560000120,NOME NAO ENCONTRADO,pl_medio,22494793705.608917,6.2577
57176726000105,NOME NAO ENCONTRADO,pl_medio,14031804386.061005,3.8535
58824505000150,NOME NAO ENCONTRADO,pl_medio,12609781780.996586,3.4495
00812433000141,BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA,captacao_media,207965175.1988755,4.5171
00834074000123,CAIXA PRÁTICO FIC DE CLASSE DE FIF RENDA FIXA CURTO PRAZO - RESPONSABILIDADE LIMITADA,captacao_media,159507033.95361444,3.4501
